SettlementPoint,Year,Month,AveragePrice
LZ_HOUSTON,2016,06,29.91508333333333
LZ_HOUSTON,2016,07,29.91186827956989
LZ_HOUSTON,2016,08,33.56354838709677
LZ_HOUSTON,2016,09,29.032680555555554
LZ_HOUSTON,2016,10,28.54581989247312
LZ_HOUSTON,2016,11,20.437680555555556
LZ_HOUSTON,2016,12,25.736841397849464
LZ_HOUSTON,2017,01,24.82736559139785
LZ_HOUSTON,2017,02,23.51721726190476
LZ_HOUSTON,2017,03,28.742005383580082
LZ_HOUSTON,2017,04,32.96706944444445
LZ_HOUSTON,2017,05,32.36264784946236
LZ_HOUSTON,2017,06,33.66891666666667
LZ_HOUSTON,2017,07,34.725833333333334
LZ_HOUSTON,2017,08,30.031478494623656
LZ_HOUSTON,2017,09,27.410027777777778
LZ_HOUSTON,2017,10,31.339381720430108
LZ_HOUSTON,2017,11,26.339625
LZ_HOUSTON,2017,12,21.97978494623656
LZ_HOUSTON,2018,01,38.04498655913979
LZ_HOUSTON,2018,02,22.375848214285714
LZ_HOUSTON,2018,03,23.933458950201885
LZ_HOUSTON,2018,04,24.728347222222222
LZ_HOUSTON,2018,05,35.5330376344086
LZ_HOUSTON,2018,06,31.802347222222224
LZ_HOUSTON,2018,07,79.56653225806451
LZ_HOUSTON,2018,08,32.159623655913975
LZ_HOUSTON,2018,09,27.722416666666668
LZ_HOUSTON,2018,10,31.78111559139785
LZ_HOUSTON,2018,11,31.730333333333334
LZ_HOUSTON,2018,12,30.462069892473117
LZ_HOUSTON,2019,01,25.55008064516129
LZ_HOUSTON,2019,02,21.644255952380952
LZ_HOUSTON,2019,03,28.080323014804843
LZ_HOUSTON,2019,04,24.264583333333334
LZ_HOUSTON,2019,05,25.15361559139785
LZ_HOUSTON,2019,06,27.226736111111112
LZ_HOUSTON,2019,07,30.01306451612903
LZ_HOUSTON,2019,08,126.69338709677419
LZ_HOUSTON,2019,09,80.77929166666667
LZ_HOUSTON,2019,10,30.642379032258063
LZ_HOUSTON,2019,11,24.18161111111111
LZ_HOUSTON,2019,12,18.919852150537633
LZ_LCRA,2016,01,19.317459677419354
LZ_LCRA,2016,02,15.488548850574713
LZ_LCRA,2016,03,16.796298788694482
LZ_LCRA,2016,04,18.392708333333335
LZ_LCRA,2016,05,18.182782258064517
LZ_LCRA,2016,06,24.164416666666668
LZ_LCRA,2016,07,27.592217741935485
LZ_LCRA,2016,08,31.175577956989247
LZ_LCRA,2016,09,27.039944444444444
LZ_LCRA,2016,10,26.068440860215055
LZ_LCRA,2016,11,19.541680555555555
